,class,due,type,description,status,priority,uid,alarm,trigger,action,category,related-to,impact
0,CSCI 3762,2024-03-09 03:30:00+00:00,lab,lab 5 due,CONFIRMED,0,3n85pladebrn6j6lidqnvc0qj3@google.com,,,DISPLAY,No category provided,TODO: via UID,0
1,CSCI 4287,2024-05-08 21:15:00+00:00,final,Final for embedded systems,CONFIRMED,0,59c2nip5m1kbe0d4mhtseu3140@google.com,,,DISPLAY,No category provided,TODO: via UID,0
2,CSCI 4034,2024-05-06 16:45:00+00:00,final,Theory of computation Final - Test,CONFIRMED,0,5dlu7o9g070239kl055jhq8olf@google.com,,,DISPLAY,No category provided,TODO: via UID,0
3,CSCI 4287,2024-01-24 02:00:00+00:00,hw,HW1 homework-1 hw 1 hw-1,CONFIRMED,0,7ak6me2icbgnij1jc133ekh4nk@google.com,,,DISPLAY,No category provided,TODO: via UID,0
4,CSCI 4743,2024-02-02 03:00:00+00:00,hw,Assignment 1 homework-1 homework 1 hw-1 homework 1,CONFIRMED,0,313ovmfcn3ak630cufrokurv1b@google.com,,,DISPLAY,No category provided,TODO: via UID,0
5,CSCI 4287,2024-02-15 02:30:00+00:00,hw,"hw2 hw-2 homework 2 homework-2 hw <br><br><br><strong>Real-Time Operating Systems (RTOS)</strong>: Many embedded systems require real-time performance, where tasks must be completed within strict time constraints. An RTOS manages the hardware resources and scheduling to meet these time requirements.<br><br><strong>Programming Languages</strong>: C and C++ are the most commonly used programming languages for embedded systems due to their efficiency and control over system resources. Assembly language is also used for very low-level programming, and newer languages like Rust are gaining traction for their safety features.",CONFIRMED,0,2r3f31ph0u1f4tc1j0v28mo5ml@google.com,,,DISPLAY,No category provided,TODO: via UID,0
6,CSCI 4287,2024-02-15 03:30:00+00:00,hw,hw3 hw 3 homework 3 homework-3,CONFIRMED,0,0au9g41lmod5bea06rj7pf7ahj@google.com,,,DISPLAY,No category provided,TODO: via UID,0
7,CSCI 4743,2024-02-15 20:45:00+00:00,quiz,"Quiz 01 <br><br>Quiz 1 Topics to Study: <br><br><ol><li><p><strong>Fundamentals of Information Security</strong>: Introduction to the foundational concepts of cybersecurity, including the CIA triad (confidentiality, integrity, availability), types of security threats, vulnerabilities, and the principles of secure design.</p></li><li><p><strong>Network Security</strong>: Detailed examination of network architectures, protocols, and security measures. Topics might include firewalls, intrusion detection systems (IDS), intrusion prevention systems (IPS), virtual private networks (VPNs), and secure routing protocols.</p></li><li><p><strong>Cryptography</strong>: Understanding the role of cryptography in securing data. This includes symmetric and asymmetric encryption, hashing algorithms, digital signatures, and cryptographic protocols like SSL/TLS for secure communication.</p></li></ol>",CONFIRMED,0,0sdisor1maqklpmmauv7423od2@google.com,,,DISPLAY,No category provided,TODO: via UID,0
8,CSCI 3762,2024-02-16 03:30:00+00:00,lab,"Lab 2 due<br><br>DUE : 02/15/2024<br><br><strong>Socket Programming</strong>: At the heart of network programming, socket programming involves creating endpoints (sockets) for communication between devices. The course will likely cover how to use sockets in various programming languages, such as C/C++, Python, or Java, and the differences between TCP sockets (stream-based) and UDP sockets (datagram-based).",CONFIRMED,0,4r46lkm1cg78rhcdmjfilt6n6g@google.com,,,DISPLAY,No category provided,TODO: via UID,0
9,CSCI 4287,2024-02-22 02:30:00+00:00,hw,"hw4 hw-4 homework4 homework 4 hw<br><br><strong>Input/Output Interfaces</strong>: Embedded systems often interact with the external world through sensors and actuators. Programming these interfaces involves managing digital and analog inputs/outputs, communication protocols (e.g., SPI, I2C, UART), and sometimes complex signal processing.",CONFIRMED,0,1br9ervv6v7dg1haagguctn5c9@google.com,,,DISPLAY,No category provided,TODO: via UID,0
